,0
0,-2.3298099268758365e-17
1,-2.3298099268758365e-17
2,-2.3298099268758365e-17
3,-2.3298099268766932e-17
4,1.8859109865589238e-17
5,-1.1280540041471113e-17
6,3.543960061971272e-18
7,3.0090997716324598e-18
8,-1.2748419836118677e-17
9,2.433997021991126e-17
10,-2.1897979262131023e-17
11,8.043689657217986e-18
12,8.125932742881265e-18
13,-2.3298830480497626e-17
14,2.990975804780585e-17
15,-2.017730697504451e-17
16,8.821843324469819e-18
17,-6.483599370295424e-18
18,1.1037866304921583e-17
19,-1.155209991201106e-17
20,1.2240375677482882e-17
21,-1.5931681598459713e-17
22,1.4403344097684952e-17
23,-1.76594680231262e-18
24,-9.809832788009975e-18
25,1.2399700900869833e-17
26,-8.117413727821752e-18
27,6.720894100858704e-18
28,-6.983703026657389e-18
29,8.064896088142116e-18
30,-7.590338434182021e-18
31,7.142695812392687e-18
32,-6.04001098421324e-18
33,8.155589406348669e-18
34,-1.0648243743463636e-17
35,9.275397773962317e-18
36,-4.767391154665628e-18
37,3.3799468577738274e-18
38,-2.2526840554660256e-18
39,1.6957784258812468e-18
40,-7.418237946205368e-18
41,2.996915969383972e-17
42,-3.284217331674662e-17
43,4.20877977237957e-18
44,1.6791177616073452e-18
45,1.834077068039994e-18
46,-2.0076107471291084e-18
47,1.9554558055617498e-18
48,1.2244331485027934e-18
49,-4.949787830116355e-18
50,8.891899981574508e-19
51,1.0057886147275905e-17
52,-2.3532999457505353e-17
53,4.9484220371831144e-17
54,-1.2114599556667691e-16
55,4.549949514496414e-17
56,-1.570999193786476e-17
57,5.2963385359658425e-18
58,-1.3017942717248441e-18
59,2.0997350601810386e-18
60,-7.334044837663805e-18
61,1.7410069544149834e-17
62,-2.0790495513751308e-17
63,8.11829404556338e-21
64,4.1534963980308e-19
65,8.877241196941828e-18
66,-5.656655071846916e-18
67,1.6298639457260686e-18
68,1.416724596212168e-18
69,-5.580604226776493e-18
70,1.3146179735527306e-17
71,-1.265776430308186e-17
72,6.627588220785871e-18
73,-5.345189100935535e-19
74,-3.0586006086115818e-18
75,4.339037986645829e-18
76,-2.17866095352672e-19
77,4.613914247350967e-19
78,5.531257413682301e-19
79,-1.333620271644786e-18
80,2.120677156520503e-18
81,-1.6570488386368848e-19
82,1.4142730382138905e-18
83,-2.441144269184594e-18
84,4.658199194927297e-18
85,-4.303714752460383e-18
86,2.8889279492367587e-18
87,1.2403315564291755e-18
88,-1.5271197895581769e-18
89,2.940752817014607e-18
90,-3.2102792947785976e-18
91,3.4882756147498094e-18
92,-2.8790641361249813e-18
93,1.8736519868942707e-18
94,-1.4759449958525878e-20
95,-2.032138929899905e-19
96,4.867477035299512e-19
97,1.7688650086237427e-18
98,-1.8609535586248213e-18
99,1.492157265726416e-18
100,-1.116694377347928e-19
101,2.920261397362334e-19
102,5.887031001857966e-20
103,8.122571523071821e-19
104,-4.838387682970246e-19
105,5.138626509767294e-19
106,-7.185406097486511e-20
107,4.203064068922642e-19
108,4.215042528976602e-20
109,2.134926346929262e-19
110,1.4083809792776984e-19
111,-1.48300273128084e-19
112,7.170924514205779e-19
113,-2.902517359660449e-19
114,2.1758636467382674e-19
115,7.887614352211921e-20
116,6.649507232684159e-20
117,1.0896376045020533e-19
118,3.06624211319869e-20
119,9.331022543548823e-20
120,1.478715879633023e-20
121,9.791291835005384e-20
122,1.6677366904084777e-20
123,6.46290304160375e-20
124,2.677269202323649e-20
125,3.453336855785572e-20
