,0
0,-1.508409703782172e-17
1,-6.093414875129303e-18
2,3.3303092687613014e-18
3,1.2857569707039278e-17
4,5.060309150125627e-18
5,9.776395508393226e-18
6,8.277979882612227e-18
7,6.991106458974673e-18
8,1.2506554799986428e-17
9,1.8507188154911062e-18
10,1.1552156054783169e-17
11,7.945089451075202e-18
12,4.255887151685165e-18
13,1.4967614908242276e-17
14,1.0365769895811442e-18
15,1.0557624712310991e-17
16,6.3387879831853715e-18
17,9.482168922056922e-18
18,4.053300516197734e-18
19,9.816643456841745e-18
20,3.618823733148964e-18
21,1.1812357630530002e-17
22,4.286728186785898e-18
23,5.224440066232185e-18
24,1.0525075715948531e-17
25,3.706007157321746e-18
26,8.251356686283914e-18
27,4.417290293457366e-18
28,8.487000836725091e-18
29,3.676151587948228e-18
30,8.30300334347152e-18
31,3.8505533760006034e-18
32,7.729246609871345e-18
33,2.5069293040623262e-18
34,9.529435264035582e-18
35,3.034288401136136e-18
36,6.196271924651035e-18
37,4.016786686000981e-18
38,5.540595782670909e-18
39,4.3676618174647706e-18
40,9.459171271888894e-18
41,-4.419903599725724e-18
42,7.575839501264052e-18
43,5.388624465104934e-18
44,4.524091484894507e-18
45,3.584490149860001e-18
46,4.436600520182724e-18
47,3.784563754674349e-18
48,3.297356514526223e-18
49,5.310081858882783e-18
50,4.937515055000427e-18
51,1.1454400067628406e-18
52,8.667600660285984e-18
53,-7.584819038129299e-18
54,1.433384658242156e-17
55,-4.1876308241455364e-19
56,4.591520318955092e-18
57,3.107788574031968e-18
58,3.5487819235681446e-18
59,2.822119409859429e-18
60,4.821415834746963e-18
61,1.1831558558082535e-19
62,3.867879833350813e-18
63,3.866267776443556e-18
64,3.7757171538937896e-18
65,1.7600566619893013e-18
66,3.0752471853543107e-18
67,2.690073488805534e-18
68,2.3798740673415036e-18
69,3.638796283969071e-18
70,8.016448602203097e-19
71,3.3293423407083316e-18
72,2.0205774897111138e-18
73,2.129513362051103e-18
74,2.7881675028570812e-18
75,1.888499423169711e-18
76,1.939118953848726e-18
77,1.8420277016088553e-18
78,1.7359820316251288e-18
79,1.969463633361117e-18
80,1.5803617568111782e-18
81,1.6090774860288017e-18
82,1.3349609290531333e-18
83,1.783067062413829e-18
84,9.019645639088738e-19
85,1.666395039267508e-18
86,1.1384077958297382e-18
87,9.12057978034264e-19
88,1.1916156122596123e-18
89,7.433920879164592e-19
90,1.2109353412442524e-18
91,5.770340396986991e-19
92,9.764595992489951e-19
93,6.410402625416655e-19
94,6.432630011380471e-19
95,6.747196936120844e-19
96,5.9331355728105e-19
97,3.3981671977857706e-19
98,5.949223378693562e-19
99,3.6760017283647325e-19
100,3.85220369685262e-19
101,3.501785585146468e-19
102,3.4215512032484695e-19
103,2.363843303816871e-19
104,2.868642684478686e-19
105,2.1072802466012886e-19
106,2.195192478971623e-19
107,1.6705306781424012e-19
108,1.618274201654988e-19
109,1.355382135535592e-19
110,1.226439873085471e-19
111,1.3891243777167587e-19
112,6.407337406437125e-20
113,9.597373517836711e-20
114,7.216846958109616e-20
115,6.389860980468972e-20
116,5.814850599199175e-20
117,4.596183272636662e-20
118,4.349056436776731e-20
119,3.357904734975704e-20
120,3.245449962158935e-20
121,2.5378669946251575e-20
122,2.3854157564497652e-20
123,1.8602614929751617e-20
124,1.6439894855432537e-20
125,1.36442591409976e-20
126,1.1452626474511413e-20
127,1.0005181688062987e-20
128,7.921388203823973e-21
129,7.051281896987646e-21
130,5.4707057090854856e-21
131,4.833175722935011e-21
132,3.67675434616284e-21
133,2.9672505546576176e-21
134,2.4154726819606422e-21
135,1.9454436846279455e-21
136,1.5974191168167223e-21
137,1.3384306170589928e-21
138,1.0100429031406907e-21
139,8.594227625318965e-22
140,6.3051840753597455e-22
141,5.135418210735504e-22
142,3.7581175097627863e-22
143,2.866703414221363e-22
144,2.12948523299041e-22
145,1.5900389610683425e-22
146,1.0156008445543353e-22
147,5.671497615147002e-23
148,1.690369456419655e-23
149,-1.9099622291716714e-24
150,-2.831219303029438e-23
151,-3.617318105940801e-23
152,-5.114342375558694e-23
153,-5.634797459241452e-23
154,-6.289237881284598e-23
155,-6.673001885958822e-23
156,-6.943127497562225e-23
157,-7.009535272443248e-23
158,-7.032182412755127e-23
159,-6.966314264137602e-23
160,-6.861620446746925e-23
161,-6.721738048976392e-23
162,-6.524806976946348e-23
163,-6.35198332478559e-23
164,-6.109135143830738e-23
165,-5.880773242749208e-23
166,-5.637724334021177e-23
167,-5.512217654822971e-23
168,-4.9143315331593135e-23
169,-6.178357445626186e-23
170,-2.19159987624484e-24
171,-2.143268570971235e-22
172,6.188657038824893e-22
173,-2.3041280583899426e-21
174,2.612430735305624e-21
175,-6.535507366981362e-22
176,1.583398485795234e-22
177,-8.52415880259871e-23
178,-2.291842740006129e-23
179,-3.838071925501034e-23
180,-3.2509789006063055e-23
181,-3.254205073448232e-23
182,-3.0944906760316293e-23
183,-2.9980797780011575e-23
184,-2.86387776967099e-23
185,-2.775721964784159e-23
186,-2.682901893081443e-23
187,-2.5908261544373068e-23
188,-2.4909375172290677e-23
189,-2.39756118266007e-23
190,-2.3042431230572617e-23
191,-2.2212798742214027e-23
192,-2.1304910828531668e-23
193,-2.051196891518867e-23
194,-1.979030146086224e-23
195,-1.903585066068759e-23
196,-1.833955724145863e-23
197,-1.7595047909317028e-23
198,-1.6823058442188616e-23
199,-1.6224405942383857e-23
200,-1.5514479179415807e-23
201,-1.5005678907851587e-23
202,-1.4393154653836582e-23
203,-1.384624738038249e-23
204,-1.3329169062423354e-23
205,-1.2893365731607509e-23
206,-1.2395705856945513e-23
207,-1.189244969195385e-23
208,-1.1452799829632218e-23
209,-1.0963022135701283e-23
210,-1.0544583169109293e-23
211,-1.0174857695135352e-23
212,-9.783058104510366e-24
213,-9.433180519645482e-24
214,-9.08051228251926e-24
215,-8.707432856994693e-24
216,-8.331008634682988e-24
217,-8.010216487608888e-24
218,-7.63500968159557e-24
219,-7.285293354134777e-24
220,-7.028763342960043e-24
221,-6.744020713721524e-24
222,-6.4525576367625115e-24
223,-6.120221721855758e-24
224,-5.8278837532646386e-24
225,-5.571899296731265e-24
226,-5.286115754418545e-24
227,-5.0406886344717675e-24
228,-4.79250865619915e-24
229,-4.5549331195499325e-24
230,-4.319127569775164e-24
231,-4.073892796760133e-24
232,-3.8517964359906965e-24
233,-3.597664083437151e-24
234,-3.4294252048056405e-24
