,0
0,1.1712316281605783e-16
1,1.1984728029891321e-16
2,1.2021982492461388e-16
3,1.1801326238966737e-16
4,1.155438922183948e-16
5,1.134762849293686e-16
6,1.1093177184922244e-16
7,1.0875510962381111e-16
8,1.0594330118462797e-16
9,1.0384813629810848e-16
10,1.0186884941470018e-16
11,9.895443798887061e-17
12,9.710800909830661e-17
13,9.416198253321183e-17
14,9.167723041285316e-17
15,8.985358189776308e-17
16,8.716014607607945e-17
17,8.460337210273763e-17
18,8.238427527243071e-17
19,8.007770347183457e-17
20,7.781005511034593e-17
21,7.516467820733777e-17
22,7.236079800140636e-17
23,7.067733176361857e-17
24,6.78406390076579e-17
25,6.523190055092344e-17
26,6.300005676682589e-17
27,6.059103038339653e-17
28,5.808439794377533e-17
29,5.566588805989154e-17
30,5.323183875257195e-17
31,5.070650356440288e-17
32,4.8227783356102504e-17
33,4.604291945654464e-17
34,4.339692937742121e-17
35,4.0464324496609484e-17
36,3.8423594132345483e-17
37,3.622837120724834e-17
38,3.407336766665289e-17
39,3.178892379949073e-17
40,2.8625573692645774e-17
41,2.7847658729012505e-17
42,2.7463419071129893e-17
43,2.5217631926434958e-17
44,2.351636751679861e-17
45,2.213168667613386e-17
46,2.0996862681821953e-17
47,2.0083094248695242e-17
48,1.9143785357467818e-17
49,1.7977108457450787e-17
50,1.654587537356138e-17
51,1.5781399890625343e-17
52,1.47358430116508e-17
53,1.4617301375328563e-17
54,1.4210272711785676e-17
55,1.2706345436144754e-17
56,1.2262748851184195e-17
57,1.1543779891721679e-17
58,1.0792124174706028e-17
59,1.0057190949822675e-17
60,9.362635942942742e-18
61,8.917834884665439e-18
62,8.678198206813218e-18
63,8.166272671473726e-18
64,7.610928108207396e-18
65,7.191945065869191e-18
66,6.817203826459202e-18
67,6.363045289345653e-18
68,5.993014585430714e-18
69,5.5404328988177015e-18
70,5.220993990385545e-18
71,4.946014257533006e-18
72,4.593860663774402e-18
73,4.3119287815466404e-18
74,3.958929564005292e-18
75,3.6357052328958516e-18
76,3.3392658908782627e-18
77,3.074041872109464e-18
78,2.8453823281207784e-18
79,2.629140516914295e-18
80,2.4120331782679726e-18
81,2.2277958532155222e-18
82,2.037589848165395e-18
83,1.846803982618099e-18
84,1.6775119468249408e-18
85,1.5254470087211317e-18
86,1.3545762285896266e-18
87,1.2298454521279551e-18
88,1.1014778728225637e-18
89,1.0031679019894877e-18
90,9.082921896920463e-19
91,7.999868985895813e-19
92,7.281458376688075e-19
93,6.316247593040292e-19
94,5.671537381011719e-19
95,4.991475998316939e-19
96,4.2845684502115406e-19
97,3.8388107222161123e-19
98,3.41168706841381e-19
99,2.9229032428027236e-19
100,2.5269475119086106e-19
101,2.2327990679789513e-19
102,1.918271735093478e-19
103,1.6671502171493231e-19
104,1.485178049333312e-19
105,1.2394262058335163e-19
106,1.0639594440453844e-19
107,9.031087535443727e-20
108,7.671976259646365e-20
109,6.451402289124299e-20
110,5.663485818762527e-20
111,4.7070664193512596e-20
112,4.0009153471251436e-20
113,3.4145782762945814e-20
114,2.801385770963009e-20
115,2.325848801879295e-20
116,1.974051512589511e-20
117,1.5859228735227094e-20
118,1.345606040106317e-20
119,1.072725347576096e-20
120,9.053326427474169e-21
121,7.660191710275936e-21
122,6.160033730491285e-21
123,5.010067791800003e-21
124,4.066480207590867e-21
125,3.254663126863326e-21
126,2.619746776825124e-21
127,2.1444533003078573e-21
128,1.6671687131620932e-21
129,1.3599729575336418e-21
130,1.0361952500300725e-21
131,8.3278410201167185e-22
132,6.031153241621915e-22
133,4.418389410652058e-22
134,3.2853316152027806e-22
135,2.388656088961621e-22
136,1.743393771356067e-22
137,1.249123569317998e-22
138,7.63345126768241e-23
139,4.718797882784655e-23
140,1.729510870392995e-23
141,-1.7475323257889652e-24
142,-1.6652036520431955e-23
143,-2.792963694370018e-23
144,-3.541622076309451e-23
145,-4.0575264135686657e-23
146,-4.481142786462654e-23
147,-4.7487566345114485e-23
148,-4.882020842504959e-23
149,-4.9014945045746784e-23
150,-4.8470246598778585e-23
151,-4.7774772397378595e-23
152,-4.633548584064739e-23
153,-4.509869337966819e-23
154,-4.343752640717287e-23
155,-4.159275579003377e-23
156,-3.946435473426161e-23
157,-3.776616373583643e-23
158,-3.5794575553401573e-23
159,-3.4321685945939036e-23
160,-3.2473654924381583e-23
161,-3.0971373786855304e-23
162,-2.912083297813316e-23
163,-2.779763374998189e-23
164,-2.6081098550441348e-23
165,-2.4583656547784686e-23
166,-2.329103807048448e-23
167,-2.2001601992754818e-23
168,-2.0905238982779408e-23
169,-1.9722596699926408e-23
170,-1.9125236420562802e-23
171,-1.69640374001723e-23
172,-2.0530013776011228e-23
173,-2.0900464060632156e-24
174,-2.884896833660145e-24
175,-1.9446258380984725e-23
176,-1.3625336116169575e-23
177,-1.4166126449694394e-23
178,-1.3171388884700516e-23
179,-1.264639340674768e-23
180,-1.2070499943236519e-23
181,-1.1555238840676133e-23
182,-1.100886574016291e-23
183,-1.0562559551285379e-23
184,-1.0008844515115115e-23
185,-9.639126386674078e-24
186,-9.257498150539847e-24
187,-8.881001771690786e-24
188,-8.476233120811367e-24
189,-8.100976976472343e-24
190,-7.72904152000434e-24
191,-7.401146416004956e-24
192,-7.045203462963306e-24
193,-6.736497571086084e-24
194,-6.4578605629096155e-24
195,-6.168593005788369e-24
