,0
0,5.657946243674526e-16
1,5.505287736883328e-16
2,5.34316311028066e-16
3,5.180500850807803e-16
4,5.019808126619651e-16
5,4.860076987602101e-16
6,4.701990621851154e-16
7,4.545448500101122e-16
8,4.390446241923811e-16
9,4.2377495451698113e-16
10,4.085499315787948e-16
11,3.9355402130567417e-16
12,3.7873259529315606e-16
13,3.640344792366936e-16
14,3.496640888746518e-16
15,3.3534836677745805e-16
16,3.212574668789359e-16
17,3.0736470946053394e-16
18,2.9370048470249997e-16
19,2.801652056058679e-16
20,2.6687042383046757e-16
21,2.537180150146138e-16
22,2.4090925188606564e-16
23,2.2824556047848794e-16
24,2.1574245649023248e-16
25,2.0358370296833254e-16
26,1.9159005375216144e-16
27,1.7986233183235502e-16
28,1.6831050768814158e-16
29,1.5703320837037686e-16
30,1.4593788429230282e-16
31,1.3517147313100867e-16
32,1.2455313744574663e-16
33,1.1453197086821077e-16
34,1.0464449367784539e-16
35,9.49160922583129e-17
36,8.616990030575116e-17
37,7.816373304279386e-17
38,7.02249847135954e-17
39,6.264278481546225e-17
40,5.568745075368872e-17
41,5.138367004384929e-17
42,4.798693278672513e-17
43,4.343499770631474e-17
44,3.925726894309013e-17
45,3.536423745688207e-17
46,3.231048091877353e-17
47,3.0028839768113096e-17
48,2.742884411149188e-17
49,2.4906944948911626e-17
50,2.2497325773499004e-17
51,2.0475942471886836e-17
52,1.88359390601098e-17
53,1.7261631354874165e-17
54,1.6379059829995345e-17
55,1.495322124906998e-17
56,1.3616579520890986e-17
57,1.2507197464767986e-17
58,1.1245182238783268e-17
59,1.0044228241224406e-17
60,9.159153591938648e-18
61,8.342471269581656e-18
62,7.811305575736479e-18
63,7.253836479010077e-18
64,6.680650020304258e-18
65,6.122386025640499e-18
66,5.578207388876176e-18
67,5.059473941634318e-18
68,4.608845114466631e-18
69,4.174022452834034e-18
70,3.78938883269788e-18
71,3.4491380096040217e-18
72,3.136106331424852e-18
73,2.8335200093399327e-18
74,2.5361064736368604e-18
75,2.2743739790681448e-18
76,2.0042264579148145e-18
77,1.7793791663423615e-18
78,1.5903052965966088e-18
79,1.4304321024367425e-18
80,1.2765155738025952e-18
81,1.1424902024486759e-18
82,1.0048936399805834e-18
83,8.85774898556849e-19
84,7.752540995496751e-19
85,6.79988644834778e-19
86,5.92588602102142e-19
87,5.141224175235427e-19
88,4.428194679440956e-19
89,3.8954799719833603e-19
90,3.429670222547355e-19
91,2.9161563392523293e-19
92,2.5613914129209457e-19
93,2.1576740602022184e-19
94,1.8567760013242058e-19
95,1.581537826251565e-19
96,1.3233974316145565e-19
97,1.1303340405817139e-19
98,9.637926112440954e-20
99,8.03929479589944e-20
100,6.605272542570752e-20
101,5.654293614153589e-20
102,4.7116534449038025e-20
103,3.936828562598335e-20
104,3.3876623665066245e-20
105,2.7179411426092687e-20
106,2.2480051923834988e-20
107,1.8402758233138043e-20
108,1.495294291244838e-20
109,1.2061767312891734e-20
110,1.0215167333916446e-20
111,8.315469689202757e-21
112,6.815889969591677e-21
113,5.450410720526427e-21
114,4.3222472500804225e-21
115,3.427979415107564e-21
116,2.8090587455692635e-21
117,2.148293378348998e-21
118,1.7548081640138028e-21
119,1.3287493104198335e-21
120,1.0781543999611549e-21
121,8.775339782605191e-22
122,6.672140188963897e-22
123,5.165818415453679e-22
124,3.946413568664337e-22
125,2.9620058385512935e-22
126,2.2212715929318003e-22
127,1.6948166721471647e-22
128,1.189867343072412e-22
129,8.799369695099851e-23
130,5.719127566668301e-23
131,3.8784722441269147e-23
132,1.9548844348962533e-23
133,6.935925828285133e-24
134,-1.1314529469234925e-24
135,-6.931655124219015e-24
136,-1.0675269726099816e-23
137,-1.318208799602827e-23
138,-1.5240052069683055e-23
139,-1.619685958652599e-23
140,-1.6828368816522293e-23
141,-1.6952360505768998e-23
142,-1.6791736011970657e-23
143,-1.6407968054827643e-23
144,-1.5930603312614215e-23
145,-1.5401866237886306e-23
146,-1.4705241308549996e-23
147,-1.3922801923521724e-23
148,-1.3048948047420479e-23
149,-1.241308407445116e-23
150,-1.1533159553250152e-23
151,-1.1014006311676863e-23
152,-1.0237693391782943e-23
153,-9.711559240359668e-24
154,-9.0946375196721e-24
155,-8.48943751503732e-24
156,-7.855806650789261e-24
157,-7.385800499744375e-24
158,-6.86936234978558e-24
159,-6.5005009190115906e-24
160,-6.054189718086381e-24
161,-5.703376173446949e-24
162,-5.2836965118515726e-24
163,-4.991284208249574e-24
164,-4.620267754755882e-24
165,-4.30394633702891e-24
166,-4.035369804816797e-24
167,-3.7735042012992626e-24
168,-3.548029324848501e-24
169,-3.331213897433983e-24
170,-3.1507114153640768e-24
171,-2.967074618354265e-24
172,-2.8126113702387703e-24
173,-2.6305322241433264e-24
174,-2.629565759401615e-24
175,-2.4962583256241515e-24
176,-2.320585469957881e-24
177,-2.2155611003164478e-24
178,-2.0907293929848767e-24
179,-1.9799823912902823e-24
180,-1.8796506108336395e-24
181,-1.786083171751641e-24
182,-1.689008772982504e-24
183,-1.6100075533501756e-24
184,-1.5128697293945404e-24
185,-1.4484724393632969e-24
186,-1.38242410762141e-24
187,-1.3176857050477837e-24
188,-1.2485700247060326e-24
189,-1.1849533221851058e-24
190,-1.122351504089086e-24
191,-1.067546152868169e-24
192,-1.0084760015806881e-24
193,-9.57612690253905e-25
194,-9.120076532111445e-25
195,-8.649790243426151e-25
196,-8.221771486257394e-25
197,-7.77105142356118e-25
198,-7.310220530949063e-25
199,-6.958318261914224e-25
200,-6.54691606920417e-25
201,-6.255938512106618e-25
202,-5.9107565719083925e-25
203,-5.606523176822557e-25
204,-5.322793501905675e-25
205,-5.086722125688071e-25
206,-4.820787103404707e-25
207,-4.555287134170622e-25
208,-4.326699056188134e-25
209,-4.0756384798709473e-25
210,-3.86395826180017e-25
211,-3.6795963964427207e-25
212,-3.4867352547876266e-25
213,-3.3167218148251405e-25
214,-3.1477161029068424e-25
215,-2.9714484546826884e-25
216,-2.796100417025833e-25
217,-2.6489717056468014e-25
218,-2.479619619192994e-25
219,-2.3241063186457897e-25
220,-2.2117719763864336e-25
221,-2.0889578337592648e-25
222,-1.9651984221879986e-25
223,-1.8264533283686993e-25
224,-1.7064569537260005e-25
225,-1.6033524795186697e-25
226,-1.4902249012370944e-25
227,-1.3947894215087723e-25
228,-1.300085439737301e-25
229,-1.2111360289007234e-25
230,-1.1243915250964313e-25
231,-1.0367695278599218e-25
232,-9.56410178211313e-26
233,-8.767969097278785e-26
234,-7.935843057041088e-26
235,-7.13365298586892e-26
236,-6.432062697947552e-26
237,-5.695153874584941e-26
238,-4.9836999622209243e-26
239,-4.3771612064866637e-26
240,-3.6846483690017203e-26
241,-2.9119597304056854e-26
242,-2.216475924826342e-26
243,-2.3702008178770394e-26
244,-1.6130496184442397e-26
245,-1.2109348186229232e-28
246,-5.674204779581957e-31
247,-7.4546543240612245e-34
248,-2.981859382049347e-38
249,-2.6823312302523222e-45
250,-4.77144774642492e-57
251,4.3586207177278077e-60
252,3.8992530737307983e-63
253,-4.038911791547315e-67
254,2.950457562611474e-68
